sentences,labels
 TIC CONSEGUIR INSTALAR    SOFTWARE SOLICITAR,0
RAPIDO ATENDIMENTO     BOM ,1
APESAR   DEMORAR  AUSENCIA  CONTATO PARIR ENTENDIMENTO  PROBLEMA  VESTIR     RESOLVER  OUTRO REGISTRAR  NAO   GOSTAR  REFORCAR   DESCASAR  CONTATO   MINIMO  BOM VONTADE  RESOLVER  PROBLEMA FICAR NITIDOS   PARIR SOLUCAO ,2
 ATENDENTE INFORMAR  DEVER ENCAMINHAR  PEDIR PARIR  CHAVE SCM8   ENTANTO  COLABORADOR NAO  GESTAO SOBRAR   RONDA  TRANSPETRO    DENOTAR CERTAR DESCONHECIMENTO  GENTILEZA ORIENTALO     INTEGRAR   SISPAT  IMPLANTAR  ESTRUTURAR  TICSPS    GESTAO  COLABORADOR SCM8 ,2
 OBRIGAR PELAR APOIAR  AJUDAR  CHARLES ,1
 ATENDENTE RESPONSAVEL PELAR  ATENDIMENTO NAO DEMONSTRAR INTERESSAR  SOLUCAO  PROBLEMA  INFORMAR EQUIVOCADAMENTE  DEVER   CONTATO   CONTABILIDADE PARIR REABERTURA  PERIODO CONTABIL ,2
 PRONTAMENTE ATENDER ,1
 BOM    SOLUCAO ,1
RAPIDEZ  EFICIENCIA ,1
 RAMAL CONTINUAR NAO APARECER  LOCALIZADOR  PESSOA ,2
   OTIMO ATENDIMENTO,1
PERDAO NAO  LEMBRAR D  PEDIR ,2
EXCELENTE,1
AGUARDAR PROVIDENCIA  COMPARTILHAR PARIR SOLUCIONAR  PROBLEMA,1
APESAR  MOVIMENTACAO  FERNANDO  COMER GERENTE  NAO   ATENDIDO   DIP  OG   DIP CITAR  2 GERENTE SETORIAIS   RESPONSABILIDADE  MOVIMENTACAO   UNIDADE REVAP    SETORIAIS CONTINUAR   ATUALIZACAO DEVIDO ,2
ATENDIMENTO EXCELENTE ,1
   ATENDIMENTO  INTERNET  LENTO  NAO  POSSIVEL BAIXAR  DRIVE  IMPRESSOR ,0
ANALISTA  PRESTATIVO  ATENCIOSO ,1
HOUVE PREOCUPACAO  RESOLVER  PROBLEMA    PESSOA ENVOLVIDO ,0
EXCELENTE ATENDIMENTO ,1
PARABENS PELAR ATENDIMENTO ,1
PARABENS PELAR ATENDIMENTO ,1
 TECNICO ATENDER  EMPENHAR  PARABENS ,1
ATENDIMENTO ATENCIOSO  PRESTATIVO,1
 ATENDER,1
SITUACAO  ACESSO  INTERNET INTERMITENTE    ALGUM MINUTO   FICAR  ACESSO NOVAMENTE  INTERNET  SOLUCAO INSATISFATORIO   INSTABILIDADE APRESENTAR ,0
 EFICIENTE,1
 OBRIGAR PELAR AJUDAR     SDS,1
 ATENDENDE   PRESTATIVO  ATENCIOSO  ORIENTOU   PASSO PARIR  SOLUCAO  CHAMAR ,1
NAO HAVER RESPOSTAR   PERGUNTAR   REGISTRAR NAO  REDIRECIONADO  EQUIPAR COMPETENTE ,2
ATENDENTE  PRESTATIVO  EFICIENTE ,1
 ATENDIMENTO  SOLICITACAO   RAPIDO     LIGACAO  EFETIVA SUBSTITUICAO  CARTUCHO  TINTO   BOM  ,1
 OBRIGAR,1
LIGUEI  ACESSO   MICRO  POREM  FALHO  ACESSO   NOTES    SENHA  TOTALMENTE BLOQUEAR  GERANDO  TRANSTORNAR    RESPONSAVEL PELAR REATIVACAO  SENHA  AUSENTAR ,2
 SERVICO  EXECUTAR  DIA POSTERIOR   CHAMAR  FICAR  EXPRESSAR  AGRADECIMENTO  EQUIPAR  EMTBM,1
 RESOLVER   HABIL ,1
ATENDIMENTO OBJETIVO  CORDIAL  EFICAZ  PARABENS ,1
PERFEITA  ,1
DEVER FALAR  GER PARIR SOLICITAR DESBLOQUEAR,0
 TRABALHAR  EXECUTAR  SUCESSO ,1
SUPORTE TECNICO TOTALMENTE EFICAZ,1
HA 28 ANO  NAO  SENTIR TAO SATISFEITO   SERVICO  INFORMATICO COMER HOJE  PARABENS PARIR  COLEGA   NOME ESQUECER ,1
EXTREMAMENTE EFICIENTE,1
PARCIALMENTE RESOLVER     HOME AREA DUPLICAR ,0
  AVALIACAO,0
RAPIDO  EFICIENTE,1
EXCELENTE ATENDIMENTO  RAPIDO  EFICIENTE ,1
ATENDENTE BRUNO  ATENCIOSO  RESOLVER  QUESTAO   RAPIDEZ ,1
APESAR    RESOLVER   SOLUCAO PARIR  PROBLEMA DEMORAR QUASE 1 HORAR  ANAS  TERCEIRAR ATENDNTE CONSEGUIR RESOLVLO ,1
 EQUIPAR  SUPORTAR TIC  RPBC      PARABEM   DEPARTAMENTO OT  DP AGRADECER  DESEMPENHAR  CARISMA  DEDICACAO ,1
 PROGRAMAR   INSTALAR  COMPUTADOR  NAO  ACESSIVEL    MENU     PROBLEMA RESOLVER ,0
PARABENS   ATENDENTE PELAR BOM ATENDIMENTO ,1
OTIMO SERVICO EXECUTADO ,1
   GRATO  QUALIDADE  ATENDIMENTO ,1
EQUIPE EFICIENTE  EFICAZ ,1
EXELENTE ATENDIMENTO,1
 EFICIENTE ,1
AGRADECIDO ,1
 BOM  ATENDIMENTO,1
EXCELENTE ATENDIMENTO,1
ATENDIMENTO EXCELENTE ,1
 RESOLVIDO PARCIAL   AGUARDANDO  RETORNAR    SOLICITACAO ,1
ATENDIMENTO  BOM,1
 ANALISAR,0
RESOLVIDO  FORMAR RAPIDO  EFICAZ ,1
 ATENDER,1
EXCELENTE ATENDIMENTO,1
RESOLVIDO  FORMAR RAPIDO  EFICAZ ,1
OTIMO ATENDIMENTO ,1
ATENDIMENTO RAPIDO  PROFISSIONAL DEDICAR,1
OTIMO ATENDIMENTO,1
 COLABORADORA ANA CAROLINA  RAPIDO  SUPER EFICIENTE ,1
RAPIDOS  EFICIENTE ,1
 NAO RECEBER  VISITAR  TECNICO PARIR   REPARO ,0
EXCELENTE ATENDIMENTO    SR  GABRIEL ,1
HA  DEMORAR  ATENDIMENTO   RAMAL  HP  EDIVEN  7040534  7040992 DIFICILMENTE HAVER ALGUEM PARIR ATENDIMENTO  ACIONASE  ALED  7040578  SO  ABRIR  REGISTRAR   DEMORAR  HOJE  EXCESSIVO  3 HORAR PARIR LIBERAR UMAR IMPRESSOR  PAUSAR        ,2
 OBRIGAR PELAR ATENDIMENTO   RESOLUCAO  PROBLEMA,1
SUPEROU  EXPECTATIVA ,1
DEMOREI   PC  NAO  RESOLVIDO  PROBLEMA,2
TROQUEI   SOLICITACAO PARIR  INTERNET EXPLORER,0
RESOLVIDO  FORMAR RAPIDO  EFICAZ ,1
INFORMARAM   ITEM  RETIRAR   DSP  MARCO    TICE  SEGUNDAR MICRO  SOLICITEI   VALORAR COBRAR INCORRETAMENTE  ESTORNAR PARIR  GERENCIA   NADO  MENCIONAR SOBRAR  ASSUNTO  RESOLUCAO  PROBLEMA ,2
 BASE CRIAR DEIXAR  REPLICACAO  LENTO ,2
ATENDENTE EXTREMAMENTE SOLICITO ,1
EXCELENTE ATENDIMENTO  SERVICO PRESTAR  EQUIPAR NOTO 10,1
AGRADECO    COLABORACAO   DESEMPENHAR ,1
 INFORMAR   MICRO MI00203081   EXCLUIR  DSP  DEMOSNTRATIVO  ABRIL2015 ,0
ATENDIMENTO  BOM  RESOLUTIVO ,1
PRESTEZA  AGILIDADE  ATENDIMENTO ,1
EXCELENTE ATENDIMENTO ,1
ATENDIMENTO EXCELENTE,1
 BOM  ATENDIMENTO  TECNICO ,1
OTIMO RESULTAR PRESTADOR  PREPARAR PARIR RESPONDER   QUESTAO,1
ATENDIMENTO SOLUCIONAR  PROBLEMA  SERVIR PARIR BASEAR ORIENTACAO PARIR PESSOAL  SETOR  GRATO,1
PARABENS PELAR CORDIALIDADE  ATENDIMENTO   ESCLARECIMENTO ACERCAR  CONSULTO  REGISTRO ATRAVES  WEB 881 ,1
PERFEITO ,0
ATENDENTE EXTREMAMENTE SOLICITO  AGIL ,1
 SOLICITACAO  ATENDIDO  EXITO ,1
FERO  PESSOA,1
ATENDIMENTO RAPIDO  EFICIENTE ,1
RAPIDEZ  EFICIENCIA,1
CONFORME INFORMAR PELAR TIC   SISTEMATICO  DESIGNACAO  MICRO PARIR UMAR DETERMINAR CHAVE  AUTOMATICO     SOLFTWARE     ACREDITO   DESIGNACAO AUTOMATICO DEVER  UMAR ANALISE CRITICO PERIODICO  PARIR AVALIACAO  INFORMACAO LEVANTAR PELAR        FERRAMENTA UTILIZAR DEVER LISTAR  USUARIO     REGISTRAR    MICROCOMPUTADOR CORPORATIVO   VERIFICAR  EXISTIR UMAR FREQUENCIA  UTILIZACAO PELAR USUARIO    SEGUNDAR MICRO  UTILIZAR  RIO   SUL   ALVO   DUVIDA   DUPLICIDADE  NAO HAVER NENHUM ACESSO  NOV14      CONSIDERAR COMER   UTILIZACAO   COBRAR COMER  ,0
EXCELENTE ATENDIMENTO  TECNICO PRESTATIVO  COMPETENTE ,1
   UTILIZO  SERVICO  FICO  IMPRESSIONADO POSITIVAMENTE    QUALIDADE  ATENDIMENTO  RAPIDEZ  SIMPATIA  PROFISSIONAIS   ATENDEM  GOSTARIA  REGISTRAR NOTA 10  ATENDIMENTO  SR LUCAS VIANA       GRATO       MICHEL     AQ6S,1
AGRADECO PELAR OTIMO ATENDIMENTO  CESAR AUGUSTO ,1
AGRADECO  ATENCAO  COMPETENCIA  SR FERNANDO  SOUZA FERNANDES,1
EXCELENTE ATENDIMENTO  ATENDENTE NOTO 1000  GENTIL    PRESTEZA  SEGURANCA  INFORMACAO  PARABENS LUCIANE  LUCIANA ,1
 ATENDENTE  CORTES  NAO   AJUDAR ,2
  ATENDIMENTO   PRESTATIVA ,1
 PROCEDIMENTO  ADEQUACAO  BASE  NOTES   DEMORAR   FORMAR  SOLICITAR   EXECUTAR  PARIR    PRIORIDADE PARIR    CONTINUAR TRABALHAR HOJE   OUTRO    CONTATO PARIR EXECUTAR   ,0
PARABEM   ATENDENTE ,1
AGRADECER  PRESTEZA  EDUCACAO  EFETIVIDADE  SOLUCAO   OPCAO 5  ATENDENTE  SRA ANA  ATENDIMENTO NOTO 10,1
PARABENS  EXCELENTE PERFORMANCE  ATENDENTE  SOLUCIONOU     PROBLEMA  AGILIDADE  PRESTEZA   ,1
EXCELENTE ,1
 ATENDIMENTO SUPERAR  EXPECTATIVA ,1
 PROFISSIONAL RESPONSAVEL PELAR ATENDIMENTO  EXTREMAMENTE HABIL  RESOLUCAO  PROBLEMA  MOSTRAR  CONHECIMENTOP SOBRAR  LOTUS NOTES ,1
 ATENDIMENTO   BOM   ATENDENTE  EFICIENTE  EFICAZ   ,1
 ATENDENTE   CORDIAL  DISPOSTO  TIRAR DUVIDAS   SATISFEITA ,1
OTIMO ATENDIMENTO ,1
EXCELENTE ATENDIMENTO   TECNICO  CAPAZ NAO   RESOLVER  PROBLEMA RELATAR COMER TAMBEM IDENTIFICAR OUTRO SITUACAO ADVERSO  APLICATIVO  RESOLVER OUTRO PROBLEMA   NAO  RECORDAR     EFICIENTE  PROATIVO  PARABENS   TECNICO ,1
 ATENDENTE   EFICAZ  PROBLEMA RESOLVER  AGILIDADE ,1
CONTINUO NAO ACESSANDO SISTAM    REFSISTEMA PEDE ATUALIZACAO JAVA 16 ,0
AGRADECO PELAR TEMPESTIVIDADE  ATENDIMENTO ,1
ATENDIMENTO  QUALIDADE ,1
 INFORMACAO  PASSAR  OBJETIVIDADE  CLAREZA ,0
EXCELENTE ,1
CONTINUO NAO ACESSANDO SISTAM   PEDE ATUALIZACAO  JAVA 16 ,0
 BOM TRABALHAR  RESOLVER  EFICACIA   ABRACAR ,1
PRONTAMENTE ATENDER    ,1
 CONTINUAR   LENTAR  NAO COMER  ANTERIORMENTE,0
ATENDIMENTO  RAPIDO  PARABENS ,1
PRONTAMENTE ATENDER    ,1
PRONTAMENTE ATENDER    ,1
PRONTAMENTE ATENDER    ,1
PACIENTE  ATENCIOSO,1
 ATENDENTE MOSTRAR DILIGENGIA   AGRADECER    ENTRETANTO  APLICACAO WEB  TROCA SENHA  NAO PERMITIR  TROCAR   SENHA EXTRANET   FRAGILIDADE DENUNCIAR  NOTO ,2
OBRIGAR PELAR APOIAR,1
NAO SO RESOLVER COMER JA INSTRUIR COMER AGIR CASAR  PROBLEMA  REPETIR ,0
 BOM ATENDIMENTO   PRESTATIVO ,1
OTIMO,1
PREZADOS     SERVICO EXECUTAR  EXCELENCIA ,1
 PACIENTE  ATENCIOSO,1
QUASE  HORAR  ESPERAR OUVIR MUSICA PARIR NAO RECEBER NENHUM RESPOSTAR CONCRETO      LIGACAO TELEFONICA POSTERIOR   INFORMAR  NECESSIDADE  DESPACHAR   DIP TRANSPETRO  DDT  CL   32015 PELAR GG  TRANSPETRO  DDT  CL     TRATASE  RIGOR  REATIVACAO  CHAVE  SAP    BUROCRACIA EXIGIR  PARECER EXCESSIVO   FACE      ACESSO  MANTER ATIVO    RAZAO  SUPRESSAO  ACESSO   SAP PELAR EMPREGAR   D    VIR   CRUCIS  RESTABELECIMENTO  PERFIL  ACESSO ,2
PARABENS PELAR ATENDIMENTO ,1
 APOS  ATENDIMENTO   ERRAR NAO REPETIR ,0
FUNCIONARIO PROATIVO,1
EXCELENTE TRABALHAR,1
,0
OTIMO SERVICO PRESTADO ,1
 PELAR EFICIENCIA ,1
 PELAR AGILIDADE  ,1
EXCELENTE TRABALHAR    AGILIDADE    EMOPRESA ENVOLVIDO ,1
OTIMO ATENDIMENTO ,1
 CHAMAR NAO  RESOLVER DEVER  FATORES EXTERNO    PETROBRAS,0
 CHAMAR  PARIR ACESSAR UMAR SOLICITACAO  VIAGEM JA APROVAR PARIR   ANDAMENTO,2
PARABENS  OTIMO ATENDIMENTO  NOTA 1000    FORCA,1
INSATISFEITO   NAO FUNCIONAMENTO  SAP R3 ,2
ATENDENTE  PRESTATIVO  ATENCIOSO  EXCELENTE ATENDIMENTO ,1
EXCELENTE  RAPIDO  ATENDIMENTO  PARABENS,1
OTIMO ATENDIMENTO  PARABENS ,1
   ATENDIMENTO,1
RESOLVIDO IMEDIATAMENTE ,1
NAO  RESOLVER     INFORMAR PELAR TIC   MANUTENCAO  SUBSTITUICAO  ESTABILIZADOR NE FUNCAO   GERENCIA ,0
RESOLVIDO  SUCESSO ,1
ATENDENTE  PRESTATIVO  EDUCAR,1
 ATENDIMENTO SUPEROU  EXPECTATIVAS,1
JA      SITE  CAIXA APRESENTAR INSTABILIDADE    HAVER SOLUCAO ,2
OTIMO ATENDIMENTO  FUNCIONARIO SUPER ATENCIOSO ,1
APESAR  RAPIDEZ  CHEGAR  TECNICO   FEITO VARIOS TENTATIVO  CORRECAO   NAO   RESPOSTAR ,2
EXCELENTE SERVICO ,1
OTIMO SERVICO,1
